yr to habitable,yr to life,yr to complex,yr intelligence,yr culture,yr tech,tech lifespan,mass extinction,yr star life,life?
2378259787,889876017,1118765195,246020204,22762621,257836,3635,3306585964,0,0
2187821787,768592064,964512295,201748700,16396953,164883,285,4002668553,10236505583,0
1976958078,1067660000,1235726273,180901692,22284183,238560,2241,3353068952,0,0
1575547258,1111069858,721535584,184220193,13133344,227456,23,3339816443,0,0
1633216690,1189378734,884455993,223672555,20437092,216467,2169,3100874422,0,0
1867878771,1048191977,927317818,187260515,19274955,198283,150,3988251442,0,0
1781232986,913700495,1205761101,143534668,22325724,195962,2422,4524681045,79294901247,1
2322584096,1067988748,987576790,194493558,21101775,194200,4554,4050405950,116483642200,0
2578665298,1119420367,1213573055,185807414,20498024,244216,1866,3559968326,0,0
2388180787,812259884,1011580381,190612233,23047853,187969,1994,3668001905,0,0
2200538160,998645208,1134975406,150441289,19397937,137585,2189,3391832931,0,0
2005703755,812455818,1000571184,180287494,15064378,225759,224,3221419908,0,0
2148020611,1485127260,1007709929,238734074,14432002,109042,143,3483936196,0,0
1587953118,945128579,919062970,217742541,22780390,217956,387,4016600783,0,0
2478660362,1099728039,989523663,188513929,17994809,224605,1538,4478748872,0,0
2659519611,906993009,633394399,114418581,17148990,198020,6912,3468710239,0,0
2315323618,1242481370,1129571773,223469454,21893880,214122,998,4115787126,0,0
2739607236,1103439712,877641011,122045296,22155926,220337,778,2135028365,0,0
1081668531,874864984,854121256,224640287,16369305,248513,5044,3893994943,0,0
1797662416,1000899538,1029590226,191791075,22494490,238536,10448,4413870874,9226050237,1
2164444677,1119755872,1019443412,210273383,18299219,148068,2749,4646225576,0,0
1074896511,874956357,1272008842,134616073,18854357,241327,1006,3710148949,0,0
2428521561,1019066869,783111594,188677334,19360753,243431,178,3098510261,9925829119,0
1461350054,766350662,1211426611,245662983,17922478,160745,3071,4157311448,0,0
1861539300,1368321482,1227963750,181849259,23675142,160835,3285,2471311037,0,0
1945110849,986335768,1180977723,181829617,19581496,241503,155,3414962997,0,0
